Subject,Status,Start Time,End Time,Size,Read,Transferred,Duration
SECOM,Success,上午 05:27:59,上午 08:15:49,931.5 GB,497 GB,448.6 MB,2:47:50
MAWF,Success,上午 08:18:14,上午 09:47:35,400 GB,260 GB,206.4 MB,1:29:20
MAWF,Success,下午 12:17:54,下午 01:48:11,400 GB,260 GB,209.4 MB,1:30:17
SECOM,Success,上午 11:27:58,下午 01:54:27,931.5 GB,497 GB,1.8 GB,2:26:29
MAWF,Success,下午 08:18:09,下午 09:43:05,400 GB,260 GB,204.9 MB,1:24:56
SECOM,Success,上午 07:28:01,上午 09:53:14,931.5 GB,497 GB,269.1 MB,2:25:13
MAWF,Success,上午 10:18:05,上午 11:46:33,400 GB,260.1 GB,207.4 MB,1:28:27
MAWF,Success,下午 01:17:56,下午 03:43:57,400 GB,260.1 GB,197.4 MB,2:26:00
MAWF,Success,下午 06:26:31,下午 08:08:26,400 GB,260.1 GB,256.4 MB,1:41:55
SECOM,Success,上午 04:27:50,上午 06:38:09,931.5 GB,498 GB,463.7 MB,2:10:19
MAWF,Success,上午 10:17:44,上午 11:14:09,400 GB,260.1 GB,1017.9 MB,0:56:24
SECOM,Success,上午 10:27:54,下午 01:38:19,931.5 GB,498.1 GB,1.5 GB,3:10:25
MAWF,Success,下午 01:17:40,下午 02:15:57,400 GB,260.1 GB,320.4 MB,0:58:16
MAWF,Success,下午 05:39:39,下午 07:43:48,400 GB,260.2 GB,1.2 GB,2:04:08
MAWF,Success,下午 10:17:47,上午 12:51:49,400 GB,260.2 GB,217.4 MB,2:34:02
MAWF,Success,下午 12:21:45,下午 01:43:24,400 GB,260.2 GB,2.2 GB,1:21:39
MAWF,Success,下午 04:18:07,下午 06:41:16,400 GB,260.2 GB,375.9 MB,2:23:09
MAWF,Success,下午 08:18:00,下午 09:18:43,400 GB,260.2 GB,313.9 MB,1:00:42
SECOM,Success,上午 04:27:52,上午 06:28:02,931.5 GB,497.7 GB,335.6 MB,2:00:10
MAWF,Success,上午 10:17:56,上午 11:45:28,400 GB,260.3 GB,486.4 MB,1:27:32
SECOM,Success,上午 09:27:54,上午 11:56:22,931.5 GB,497.7 GB,1.8 GB,2:28:28
MAWF,Success,下午 02:17:50,下午 04:50:52,400 GB,260.3 GB,625.9 MB,2:33:02
SECOM,Success,下午 06:27:54,下午 09:35:57,931.5 GB,497.9 GB,1.1 GB,3:08:02
MAWF,Success,下午 12:17:54,下午 01:43:43,400 GB,260.8 GB,444.9 MB,1:25:48
MAWF,Success,下午 08:37:08,下午 09:57:03,400 GB,260.9 GB,425.9 MB,1:19:55
MAWF,Success,上午 10:18:08,上午 11:39:13,400 GB,260.9 GB,527.4 MB,1:21:05
MAWF,Success,上午 10:18:08,上午 11:39:13,400 GB,260.9 GB,527.4 MB,1:21:05
MAWF,Success,下午 02:17:46,下午 03:25:12,400 GB,260.9 GB,484.9 MB,1:07:25
SECOM,Success,下午 05:27:53,下午 07:54:26,931.5 GB,497.9 GB,399.2 MB,2:26:32
MAWF,Success,下午 06:33:36,下午 07:59:54,400 GB,260.9 GB,1.4 GB,1:26:17
